time,node,CPU_Power (W),MEM_Power (W),PSU1_IIN (% A),PSU1_PIN (W),PSU1_POUT (W),PSU2_IIN (% A),PSU2_PIN (W),PSU2_POUT (W),Total_Power (W)
2023-06-15T10:48:51.311,n1,57.0,31.0,0.55,114.0,84.0,0.55,108.0,92.0,222.0
2023-06-15T10:48:51.312,n2,82.0,47.0,0.65,132.0,100.0,0.6,126.0,108.0,258.0
2023-06-15T10:48:51.312,n3,45.0,7.0,0.5,102.0,68.0,0.5,102.0,76.0,204.0
2023-06-15T10:48:51.312,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T10:49:21.340,n1,58.0,31.0,0.55,114.0,84.0,0.55,108.0,92.0,222.0
2023-06-15T10:49:21.340,n2,82.0,43.0,0.65,132.0,108.0,0.6,126.0,116.0,258.0
2023-06-15T10:49:21.340,n3,45.0,0.0,0.5,96.0,68.0,0.5,96.0,84.0,198.0
2023-06-15T10:49:21.340,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T10:49:51.330,n1,60.0,33.0,0.55,114.0,92.0,0.55,108.0,92.0,222.0
2023-06-15T10:49:51.330,n2,82.0,42.0,0.65,132.0,116.0,0.6,126.0,116.0,258.0
2023-06-15T10:49:51.330,n3,48.0,15.0,0.5,96.0,68.0,0.45,96.0,68.0,198.0
2023-06-15T10:49:51.330,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T10:50:21.379,n1,59.0,33.0,0.55,114.0,92.0,0.55,108.0,84.0,222.0
2023-06-15T10:50:21.379,n2,82.0,45.0,0.65,132.0,116.0,0.6,126.0,108.0,258.0
2023-06-15T10:50:21.379,n3,45.0,32.0,0.5,96.0,76.0,0.45,102.0,76.0,198.0
2023-06-15T10:50:21.379,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T10:50:51.422,n1,58.0,32.0,0.55,114.0,92.0,0.5,108.0,84.0,222.0
2023-06-15T10:50:51.422,n2,82.0,46.0,0.65,132.0,124.0,0.6,126.0,124.0,258.0
2023-06-15T10:50:51.422,n3,46.0,17.0,0.5,96.0,76.0,0.45,96.0,68.0,198.0
2023-06-15T10:50:51.422,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T10:51:21.429,n1,58.0,32.0,0.55,114.0,92.0,0.55,114.0,92.0,228.0
2023-06-15T10:51:21.429,n2,83.0,43.0,0.65,132.0,108.0,0.6,126.0,100.0,264.0
